Timestamp,CAM OPERATOR BADGE#,SCAN CASE NUMBER,DEFECT CATEGORY,DEFECT DESCRIPTION,LOCATION WHEN DAMAGED WAS NOTICED
3/23/2020 16:44:30,TSCHAFFER,SARA101520010784,SHADE / MATERIAL INCORRECT or CHANGED,TOO OPAQUE,POST CAM
3/23/2020 16:45:04,TSCHAFFER,SARA101520010827,SHADE / MATERIAL INCORRECT or CHANGED,TOO OPAQUR,POST CAM
3/23/2020 17:01:09,TSCHAFFER,ROLO101520010607,SHADE / MATERIAL INCORRECT or CHANGED,TOO OPAQUE,POST CAM
3/24/2020 5:02:13,ABEVELL,ROLO101520010692,MARGIN ISSUE,SHORT MARGIN,POST CAM
3/24/2020 5:53:45,ABEVELL,ROLO101520010707,SHADE / MATERIAL INCORRECT or CHANGED,OPAQUE,POST CAM
3/24/2020 6:28:58,DLEE,ROLO101520010765,OTHER,opaque Margins,POST CAM
3/24/2020 6:35:15,ABEVELL,SARA101520010041,OTHER,OPAQUE MARGIN,POST CAM
3/24/2020 6:36:08,abevell,ROLO101520010765,OTHER,opaque/margin,POST CAM
3/24/2020 6:36:40,abevell,ROLO101520010659,OTHER,too opaque,POST CAM
3/24/2020 6:49:54,ABEVELL,SARA101520010766,MILLING / NESTING ERROR,BRIDGE NESTED TOO CLOSE TO CAVITY,IN CAM
3/24/2020 7:42:03,ABEVELL,SARA101520010822,BROKEN / CHIPPED / CRACKED,@ GREENSTATE,IN CAM
3/24/2020 7:56:39,abevell,ROLO101520010884,BROKEN / CHIPPED / CRACKED,chipped margin,IN CAM
3/24/2020 8:26:56,DLEE,SARA101520009695,MILLING / NESTING ERROR,hole didnt mill,IN CAM
3/24/2020 9:51:38,abevell,ROLO101520010475,BROKEN / CHIPPED / CRACKED,cracked,POST CAM
3/24/2020 10:30:22,abevell,SARA101520010122,"FIT -- tight, loose, rocks, etc., etc., ...",tight/chipped,POST CAM
3/24/2020 13:15:44,dlee,SARA101520007980,BROKEN / CHIPPED / CRACKED,broken @greenstate,IN CAM
3/24/2020 13:25:35,dlee,SARA101520010401,OTHER,Parting Lines,IN CAM
3/24/2020 14:15:50,ABEVELL,EMI101520010237,CONTOUR / OCCLUSION,NO METAL OCCLUSION OR SCREW HOLE NEEDED,POST CAM
3/24/2020 14:38:44,abevell,ROLO101520010401,MILLING / NESTING ERROR,cut too rough,IN CAM
3/24/2020 14:59:34,abevell,ROLO101520007980,BROKEN / CHIPPED / CRACKED,@ greenstate,IN CAM
3/25/2020 8:59:40,TSCHAFFER,SARA101520010888,SHADE / MATERIAL INCORRECT or CHANGED,TOO OPAQUE,POST CAM
3/25/2020 9:24:30,TSCHAFFER,SARA101520010890,SHADE / MATERIAL INCORRECT or CHANGED,TOO OPAQUE,POST CAM
3/25/2020 9:31:05,TSCHAFFER,ROLO101520010325,MARGIN ISSUE,OPEN,POST CAM
3/25/2020 9:59:56,TSCHAFFER,SARA101520010891,MARGIN ISSUE,CHIPPED,POST CAM
3/25/2020 11:01:31,TSCHAFFER,SARA101520010910,MILLING / NESTING ERROR,PUCK BROKE DURING MILLING,IN CAM
3/26/2020 4:58:52,abevell,ROLO101520010635,CONTOUR / OCCLUSION,opaque,POST CAM
3/26/2020 5:17:36,abevell,ROLO101520010875,MARGIN ISSUE,chipped,IN CAM
